1	“这里的人也喜欢第一个吃螃蟹”	鄢丽娜;王中伟;张建华		2026-02-26	中国煤炭报	报纸	盾构机;盾构掘进;第一个;	2月12日，记者来到四川省煤炭产业集团华荣能源公司龙滩煤矿。临近春节，矿区生产仍然在有条不紊地推进。 当日13时，龙滩煤矿盾构掘进队党支部书记张敬林已在办公室等着——13时30分要开班前会。 办公室桌上放着2台电脑，1台对着窗，1台对着门。陆续有职工进来，在对着门的......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2--JamExNWdx0C33j4EmzV-cUWcWKl3djA_TZXxbZ4uuShXm8FCNVSJZXAaI-kel_BucMILw9AgMSoynGA2nWfLu8BSfCj8wVN9sQsR0g1tuVtcH3xaF7YMjQWUXD7FZt1kgDoNHzWtu3-rTaZD0ku9Y46eYbiLj5QAtxPeXDqLg==&uniplatform=NZKPT&language=CHS
2	蟹塘“绝地”重生记	李晓丽;王宇彤;郎建强		2026-02-25	江苏法治报	报纸	检察官;故意毁坏财物罪;检察院;提起公诉;受害者;敌杀死;有期徒刑;鉴定报告;大闸蟹;	晨光里，张某的螃蟹塘一派生机，新围的防逃网整齐环绕，高清监控屏幕上实时显示着塘面景象。这是淮安市淮阴区检察院检察官回访时看到的画面。谁能想到，一年半前这里还是一片死寂。同村养殖户曾某因邻里琐事冲动投毒，导致3000多斤即将上市的螃蟹死亡，损失8万余元。2025年7......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2--JamExNWdx0C33j4EmzV-cUWcWKl3dhMC5fIvKYTKfW6wS990PCmvwULlEj9OnlJK_ZgzDKbAW46gvhL0afMHFsJd159W79JiEPzuH-YS6_H7fg6C1N3jAPZDjV1bNIfP73mZnPVRMKOrwhow6mNpyF9scUj8GRZvN59bhr4eA==&uniplatform=NZKPT&language=CHS
3	昆山“吃螃蟹” 品到了哪种鲜	崔立勇		2026-01-30	中国改革报	报纸	昆山市;长三角一体化;	近日，江苏省苏州市下辖的昆山市设立了一个新机构——“场景办”，这显示出一个地方政府从“给政策”到“给机会”的转变。 这个由昆山市常务副市长担任主任的特殊机构，职能不是制定政策或审批项目，而是系统性地开放真实而多样的应用场景。不久前公布的昆山合作场景清单超......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Kjy4PppqSoFuY7-onbELA25rEctqsh7WwZNIqcKLw6VvNVGXHl3MDnOvW84b2CImQXfoazS3UaCxrL0Of4q7yeqoRTatR1GMzvhIcfqRsfcjtbV5Dey7Acfup3XxRhpnVXuNgJHCpwrJtZjGAwxGOXYDyMrtzWmlVA2xFHMdd-g==&uniplatform=NZKPT&language=CHS
4	冷知识			2026-01-19	家庭生活指南	特色期刊	无	<正>黄金越黄纯度越高？“黄金越黄纯度越高”的说法并不严谨。虽然纯度高的黄金颜色确实更接近深赤黄色，但黄金的颜色易受佩戴与存放、加工工艺、合金成分及视觉误差等因素的影响,不能作为判断黄金纯度的可靠标准。纯度越高颜色越接近深赤黄色这一规律仅适用于理想状态下的新金。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Kjy4PppqSoFuY7-onbELANZAdrV0TkUeCHxT5XBf7_e81mkfn6i6lotixo-U8lJl9gJkZSGoaD8X099-S_1U2fJDxezbcRiYsOdM5Oq16wN3I4F7Zw-WCbdIhS-rJxIw1o2gM4dotYAdo3T3WeiR18b2swEwipVqNIM2xs2C4Ag==&uniplatform=NZKPT&language=CHS
5	豆包手机引发热议 AI端侧迎来“首个吃螃蟹者”	罗茂林		2026-01-08	上海证券报	报纸	塞班系统;硬件设备;	2025年底，一款发行量极小的工程样机引发AI产业震动，这便是豆包与中兴努比亚合作推出的首款携带AI助手手机。有人称之为下一代智能设备的范例，也有人担心其带来潜在风险，但毋庸置疑的是，端侧AI质变将至。 “这次创新让我想到2010年前后智能手机的那场系统革命。”华创证......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Kjy4PppqSoFuY7-onbELA25rEctqsh7VW0F0TT-H36kizPTKk1tna0EEkMJ9ECWD9tjsf8-uL3jHMm8LT8j3p5HWFek5IcXnuElJH0ZohyhjTU5g-pi7_-1yFUQiInBZGBpMGp3adXO-y_A7OXxNpCSniR0-vWH4XTMQmuv8PJZxreJCq8Wf5&uniplatform=NZKPT&language=CHS
6	“国际慢城”奏响乡村全面振兴“协奏曲”	马胜伟;刘凯;史文烨		2026-01-08	江苏法治报	报纸	全面振兴;固城湖;检察官;检察院;协奏曲;	“既彰显服务发展大局的检察担当，又体现守护民生福祉的检察温度……”2025年12月中旬，南京市高淳区检察院召开检察工作汇报会，10名驻高淳区的人大代表在观看年度检察工作汇报片、观摩案件故事讲述、听取检察工作汇报后，对检察机关服务大局、保障民生、监督办案和品牌建设......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SBYVgmc3ByE1U58JfwMmzz35LCKeJw345AYpvT8Uv0Y2-I-a5-c3sKV-XUYtx5N26DqubUlcEvpODfKo4gFWmGTMMlc4pXEWCYj_NHJHu7j8mPjx9Z2fj0mbMlqKegv3yVWKf0YbFOqwbXFVEKeO66ubyh6_aDfuuQ_hozscIWHwVegfb_bU-&uniplatform=NZKPT&language=CHS
7	《孤独的小螃蟹》整本书阅读教学谈	谢峥远;段颖		2026-01-07	语言文字报	报纸	小螃蟹;阅读教学;《孤独的小螃蟹》;	在小学低段整本书阅读教学中，如何筛选适合学生的高质量图书，让学生在享受阅读乐趣的同时掌握高效阅读方法，始终是笔者不断探索的方向。作家冰波的《孤独的小螃蟹》就是这样一部佳作。《孤独的小螃蟹》讲述了小螃蟹在好朋友小青蟹离开后，从孤独迷茫到自我成长的故事。无论......	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SBYVgmc3ByE1U58JfwMmzz35LCKeJw36bCBGFDSqfhs9HrGfixi_gHp8HMhuemQ3QgwdBTlaWTR8T5jAXersPTpol-wXM1D8O4nbbIfBttxUMECUzJRYtrx04PFtZfi90QCby7Pq6sfBZvP27057nTtEZVCcN_WMAvSkP2IzFAw==&uniplatform=NZKPT&language=CHS
8	拨开孕期饮食禁忌迷雾 让孕妈妈安心享用美味	贠雯洁		2026-01-05	食品与健康	特色期刊	无	<正>孕妈妈经常能听到一些关于孕期饮食的善意提醒，比如“孕期不能吃螃蟹，否则会导致流产”“吃酱油，宝宝会变黑”“吃兔肉会导致宝宝兔唇”等。那么，这些孕期饮食禁忌，究竟是确有其事，还是以讹传讹？本文帮您拨开迷雾，探寻真相。这些饮食禁忌不可信1.孕期不能吃螃蟹？民间有这样的说法：螃蟹性寒，如果怀孕期间吃螃蟹，可能会因为寒气入体而导致流产。但事实上，这一说法没有科学依据。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SBYVgmc3ByE1U58JfwMmzhswgxwBW67OVDfM4B_Os5L8IKdXztrhTphrttdPf1iGfSvuFmzbHw1-B7wZgRnbXJxh9nIamCv2OtjnnMuZbzxj9pyvcOFmlCr9WFvuTKs6Gu0tozSct_W1vkjFih8LaXjNrOx9oQiks__i7avHw5w==&uniplatform=NZKPT&language=CHS
9	咔嚓咔嚓帮帮店	金珊珊;呱唧唧		2026-01-01	开心幼儿	特色期刊	无	<正>在美丽的海底住着一只小螃蟹，平时他总喜欢用他的那双大钳子去剪东西。瞧，小螃蟹把小丑鱼的房子剪了个洞，把海马衣服上的珍珠也剪掉了。大家一见到他就躲得远远的，小螃蟹只好待在家里磨大钳子。有一天，外面忽然传来了呼救声。小螃蟹赶紧走出去，他发现海葵姐姐的触角被海草缠住了。“让我来帮你。”只见小螃蟹挥动着大钳子“咔嚓咔嚓”剪了几下，就把缠得紧紧的海草给剪开了。“谢谢你，小螃蟹。你的大钳子真厉害！”听到海葵姐姐的称赞，小螃蟹非常开心。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2XoBezeOw1Q4Ru73x6xz7SyI2IGWzA8VI4FIL1AlhEL6o5iyfgs_-NnmGitDnBySThTld-REBdWLn4gAP98UGkjwLaV4vlzKEQuMP63jpYRn4hs422_qqS4cQGamJQIQfIBw-KuTrdLDYvEIx6rhZNv6sUSAdU-M6jeT3Ukbrx3g==&uniplatform=NZKPT&language=CHS
10	螃蟹做法小贴士	潘凤霞		2026-01-01	农家致富	特色期刊	无	<正>螃蟹以流金般的蟹黄、凝脂似的蟹膏、雪白细嫩的蟹肉征服了无数食客的味蕾。螃蟹属于高蛋白食物，易被人体吸收利用，对增强免疫力、维持肌肉健康有一定帮助。这里介绍4种既能保留螃蟹鲜美，又兼顾营养的螃蟹家常吃法，让大家轻松享受食蟹之趣。清蒸蟹清蒸是最能体现螃蟹原汁原味的做法，且操作简单。制作方法 ：螃蟹洗净后用棉线将蟹腿和蟹身绑紧；蒸锅中加冷水、姜片和葱段，将螃蟹放入蒸屉，盖上锅盖，大火蒸制；蒸好后蘸料汁即可食用。蟹肉细嫩清甜，蟹黄脂香醇厚，蟹膏黏糯绵密，回味悠长。	https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2XoBezeOw1Q4Ru73x6xz7SyI2IGWzA8VJZK9Ra6jVcbkHo8bP8Yb8JRaUVP8z0R6Ae2fQm9FaFd7c_QCviusUv3fKJZsn9lVdWbWGCyk-SFJx3xKDOO6XX0Y_fD0cVsow-hOWoGB-uxTlN7l-HTM5tOFiORhA1ZX8CvdgYnR6iLg==&uniplatform=NZKPT&language=CHS
